Project Name,Project Type,Approximate Timeline (months),Pattern Source,Difficulty Level (1-5),Tedium Level (1-5),Yarn weight ,Needle Type ,Project Category 
Granny Square Blanket,crochet,48,youtube,3,5,4,hook,blanket
Victorian Washcloths,knit,0.25,youtube,1,3,4,straight,other
Oversize cardigan,crochet,1.5,youtube,2,3,4,hook,sweater
Beanie,knit,0.25,self drafted,1,2,5,circular,hat
Headband,crochet,0.03,youtube,1,1,4,hook,hat
Cat Pillow,knit,0.25,website,1,1,7,circular,other
Men's Socks,knit,0.5,website,4,2,4,circular,socks
Uzu Sock,knit,1,website,5,2,1,circular,socks
Beanie,knit,0.25,self drafted,1,2,4,circular,hat
Beanie,knit,0.25,self drafted,1,2,4,circular,hat
Beanie,knit,0.25,self drafted,1,2,4,circular,hat
Fair Isle Mittens,knit,0.5,youtube,4,1,4,circular,other
Ribbed Sock,knit,1,self drafted,3,1,4,circular,socks
Towel Topper,crochet,0.03,self drafted,2,1,4,hook,other
Lace Scarf,knit,0.5,youtube,1,4,4,straight,scarf
Professor Meow Sweater,knit,2,website,4.5,3,5,straight,sweater
Chevron Blanket,crochet,24,youtube,1,5,5,hook,blanket
Pi Shawl,knit,0.25,youtube,1,5,2,straight,scarf
Seren Shawl,knit,in progress,website,3,4,4,straight,scarf
Cancun Boxy Top,knit,2,website,5,1,3,straight,blouse
Weekend Socks,knit,0.06,self drafted,2,3,4,circular,socks
Easy Lace Socks,knit,1,website,3.5,2,1,circular,socks
Easy Mosaic Socks,knit,0.25,website,5,1,1,circular,socks
Caged Halter Top,crochet,0.03,youtube,2.5,1,4,hook,blouse
Lace Detail Top,crochet,0.25,youtube,2.5,1,4,hook,blouse
Men's Socks,knit,0.5,website,1,5,4,circular,socks
Lace Detail Top,crochet,0.06,youtube,2.5,1,4,hook,blouse
Men's Socks,knit,in progress,website,1,5,1,circular,socks
Lars Hat ,knit,0.06,book,3.5,1,4,circular,hat
